Pattern	Replacement	Flags
高級弓技	上級弓技
レベッサさまの状況はよくありません。でもどうしたらいいか	レベッサ領主の状況はよくありません。しかしどうするべきか
女神様の教えを理解したことはありますか？	女神様の教えを学んだことはありますか？
体格を良くす方法	体格を良くする方法
この世界には優しいな人たちがたくさんいる	この世界に優しい人たちがたくさんいる
女神のご加護	女神様のご加護	g
僕が長い間レストランにいたおかげで	僕は長い間レストランにいたおかげで
物語を聴く楽しみがなくなってっしまいます	物語を聴く楽しみがなくなってしまいます
だからこそみんなそれに夢中になります	だからこそみんな夢中になります
人が物語への好み	人の物語への好み
デリックさん、そこの街が	デリックさん、その街が
鍛冶屋になる気質まるでない	鍛冶屋になる気質がまるでない
どうか。確かに俺は火山国の人の体型じゃない	そうだ。確かに俺は火山国の人の体型じゃない
親父と比べ物にならないか、	親父と比べ物にならないから、
あるようだな。れは何年前だったか	あるようだな。あれは何年前だったか
喜んでマダムお分けします	喜んでマダムにお分けします
その谷に向かって叫んでも、その谷	谷に向かって叫んでも、その谷
女神の愛を受けるているのです	女神の愛を受けているのです
友ちゃんですか。今日は何か聞きたいことがありますか	お嬢ちゃんですか。今日は何か聞きたいことがありますか
一緒に、森で的と戦っていた	一緒に、森で敵と戦っていた
お父さんは慰めてくれるつもりでしょう	お父さんは慰めてるつもりでしょう
うん！お父ちゃんもそうよ	うん！お父さんもそうよ
私もお父さんのことが一番信頼しているからね	私もお父さんのことを一番信頼しているからね
もうすぐエレガントな*嬢様になるわ	もうすぐエレガントな*お嬢様になるわ
今となって、&は大人になりたくなくなったわ	今となっては、&大人になりたくなくなったわ
説明いたします。まず、第一の例だが	説明いたします。まず、第一の例ですが
最も一般的な例なら皆さんもご存知かと思うが、次は最新の研究について説明いたします	最も一般的な例なら皆さんもご存知かと思いますが、次は最新の研究について説明いたします
メード	メイド	g
パサーバイ	通りすがりの男
ロストマン	迷子
ノーブルセニア	年配の貴族
購入する&忘れてください	購入する&しない
もしプレゼントを一つ用意したとして、なら*がプレゼント交換イベントでは	もしプレゼントを一つ用意したとすれば、*はプレゼント交換イベントで
悪くない考えだけど、あなたの腕次第なのね	悪くない考えだけど、あなたの腕次第ね
どうぜもう濡れちゃったしな	どうせもう濡れちゃったしな
リーは相変わらず*のことが気にかけてるな	リーは相変わらず*のことを気にかけてるな
君はこれからの人生で、様々選択に迫られる	君はこれからの人生で、様々な選択に迫られる
それに日々の練習と欠かさず、私にヒロインの役を任せられるほど	それに日々の練習を欠かさず、ヒロインの役を任せられるほど
この道を突き進むから、これからの演出期待してね	この道を突き進むから、これからの活躍も期待してね
一部の難民を除き、ほとんどが我が国の発展前景を狙った	一部の難民を除き、ほとんどが我が国の発展を見込んだ
しかし魔物にとっては天然的な栖だ	しかし魔物にとっては天然の生息地だ
どうやら先代の勇者たちに近づけるには	どうやら先代の勇者たちに近づくには
貿易合約	貿易契約
始めてピアノを引いた時のことは、今でもはっきりと覚えている。あの子がまるで生まれつき楽符がどのように演奏すべきかをしっている	初めてピアノを弾いた時のことは、今でもはっきりと覚えている。あの子はまるで生まれつき楽譜をどのように演奏すべきかを知っている
娘がお父さんへの評価が上がった	娘のお父さんへの評価が上がった	g
あの子の未来がどうなるだろう	あの子の未来はどうなるだろう
晴れの日がずっと続かないだろうし	晴れの日もずっと続かないだろうし
負けたほうが勝ち組みになる	負けたほうが勝ち組になる
平凡の父	平凡な父	g
*がお父さんへの評価	*のお父さんへの評価
またリリーをこっそり遊びに行ったのか	またリリーとこっそり遊びに行ったのか
忘れられし谷	忘却の森	g
